,Province,Province_TH,Link
39,Phitsanulok,พิษณุโลก,https://public.tableau.com/shared/PPQGMMY5J?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
40,Phetchaburi,เพชรบุรี,https://public.tableau.com/shared/CGFYK9TY5?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
41,Phetchabun,เพชรบูรณ์,https://public.tableau.com/shared/6Q8Z8MYFK?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
42,Phrae,แพร่,https://public.tableau.com/shared/F7QRW2XGW?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
43,Phatthalung,พัทลุง,https://public.tableau.com/shared/QSDBCC39D?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
44,Maha Sarakham,มหาสารคาม,https://public.tableau.com/shared/377FQ9263?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
45,Mukdahan,มุกดาหาร,https://public.tableau.com/shared/8RZXDP6KB?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
46,Mae Hong Son,แม่ฮ่องสอน,https://public.tableau.com/shared/TY6M2NF67?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
47,Yasothon,ยโสธร,https://public.tableau.com/shared/38J8GT992?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
48,Yala,ยะลา,https://public.tableau.com/shared/C6S5MB7QH?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
49,Roi Et,ร้อยเอ็ด,https://public.tableau.com/shared/NTS4332FH?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
50,Ranong,ระนอง,https://public.tableau.com/shared/CS6RFHSZR?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
51,Rayong,ระยอง,https://public.tableau.com/shared/Q8SXN3629?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
52,Ratchaburi,ราชบุรี,https://public.tableau.com/shared/789ZG23P5?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
53,Lopburi,ลพบุรี,https://public.tableau.com/shared/8FND4PNNK?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
54,Lampang,ลำปาง,https://public.tableau.com/shared/MYKZ8D62S?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
55,Lamphun,ลำพูน,https://public.tableau.com/shared/TDJHZGXR5?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
